タイトル,体験,リンク
四月は君の嘘,ヤマハ音楽教室,https://www.yamaha-ongaku.com/music-school/method/index2.html?utm_source=google&utm_campaign=ad&utm_medium=cpc&utm_term=brand
四月は君の嘘,バイオリン（Amazon）,https://www.amazon.co.jp/%E3%83%90%E3%82%A4%E3%82%AA%E3%83%AA%E3%83%B3/b?ie=UTF8&node=2130004051
ドラえもん,藤子・F・不二雄ミュージアム公式サイト,http://fujiko-museum.com/
ドラえもん,グッズ販売ページ（UNIQLO）,https://www.uniqlo.com/jp/store/feature/uq/ut/doraemon/
BECK,e+,http://eplus.jp/sys/main.jsp
BECK,イシバシ楽器（通販）,https://www.ishibashi.co.jp/
銀河鉄道の夜,プラネタリウム,https://planetarium.konicaminolta.jp/manten/program/planetarium/spring_18/
銀河鉄道の夜,宮沢賢治記念館,http://www.city.hanamaki.iwate.jp/bunkasports/501/miyazawakenji/p004116.html
GIANT KILLING,サッカー試合チケット,https://www.jleague-ticket.jp/club/kr/top/
GIANT KILLING,サッカースクール,https://www.fctokyo.co.jp/school
四月は君の嘘,クラシックコンサート,http://www.piano.or.jp/concert/20082038
GIANT KILLING,スポーツバー,http://www.dubliners.jp/
GIANT KILLING,サッカーショップ,http://www.sskamo.co.jp/company/
ドラえもん,星野源による映画主題歌『ドラえもん』,http://www.hoshinogen.com/special/doraemon/
GIANT KILLING,アニメ,http://www6.nhk.or.jp/anime/program/detail.html?i=giantkilling
ドラえもん,クイズラリー,http://www.new-chitose-airport.jp/ja/doraemon/event/detail/event-info1809.html
銀河鉄道の夜,影絵劇,http://columbia.jp/fujishiro/COBM-5513.html
ドラえもん,CONVERCEコラボベビースニーカー,https://item.rakuten.co.jp/shoesmegaibe/as-baby-doraemon-dt-st/?scid=af_pc_etc&sc2id=af_113_0_10001868
BECK,ROCK IN JAPAN FES.2018,http://rijfes.jp/
BECK,音楽貸しスタジオ ノア,https://www.studionoah.jp/
BECK,JOYSOUND,https://shop.joysound.com/
四月は君の嘘,聖地巡礼（練馬区）,https://www.city.nerima.tokyo.jp/
四月は君の嘘,使用曲一覧（レコチョク）,http://recochoku.jp/artist/2000304490/song/?sort=05
銀河鉄道の夜,グッズ（文豪マフラー),https://vvstore.jp/i/vv_000000000094100/
銀河鉄道の夜,アニメDVD（Amazon),https://www.amazon.co.jp/%E9%8A%80%E6%B2%B3%E9%89%84%E9%81%93%E3%81%AE%E5%A4%9C-DVD-%E7%94%B0%E4%B8%AD%E7%9C%9F%E5%BC%93/dp/B00005YWD5
